id,nazivu,univerzitet,naziv,nivo,trajanje,polje,zvanje,skolarina,skolarina2,bs1,bs2,bs3,bs4,bs5,bs6,bs,ss1,ss2,ss3,ss4,ss5,ss6,ss,sss1,sss2,sss3,sss4,sss5,sss6,sss,studenata,zstudenata,espb_budzet,espb_samo
230,Висока школа Академија српске православне цркве за уметност и консервацију - Београд,,Црквене уметности МАС,Мастер академске,60,Уметност,Мастер ликовни уметник,180000,1500,0,0,0,0,,,0,8,0,0,0,,,8,2,0,0,0,,,2,10,0,0,0
230,Висока школа Академија српске православне цркве за уметност и консервацију - Београд,,Обнова и чување МАС,Мастер академске,60,Уметност,Мастер конзерватор и рестауратор,180000,1500,0,0,0,0,,,0,7,0,0,0,,,7,0,0,0,0,,,0,7,0,0,0
142,Висока техничка школа струковних студија - Нови Сад,,Дизајн индустријских производа,Основне струковне,180,Уметност,Струковни дизајнер,85020,1200,,,,,,,0,,,,,,,0,,,,,,,0,0,0,0,0
127,"В.техничка школа струковних студија, Ниш",,Индустријско инжењерство,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер индустријског инжењерства,55000,1500,30,31,60,,,,121,30,9,5,,,,44,,,,,,,0,165,0,5618,875
127,"В.техничка школа струковних студија, Ниш",,Друмски саобраћај,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер саобраћаја,55000,1500,35,42,42,,,,119,25,18,8,,,,51,,,,,,,0,170,0,7140,2492
127,"В.техничка школа струковних студија, Ниш",,Савремене рачунарске технологије,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер електротехнике и рачунарства,55000,1500,35,37,55,,,,127,12,9,12,,,,33,,,,,,,0,160,18,4973,1393
127,"В.техничка школа струковних студија, Ниш",,Комуникационе технологије,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер електротехнике и рачунарства,55000,1500,35,24,61,,,,120,25,9,13,,,,47,,,,,,,0,167,0,4921,1880
127,"В.техничка школа струковних студија, Ниш",,Грађевинско инжењерство,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер грађевинарства,55000,1500,35,17,53,,,,105,20,14,18,,,,52,,,,,,,0,157,0,3987,1669
127,"В.техничка школа струковних студија, Ниш",,Заштита животне средине ,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер заштите животне средине,55000,1500,30,29,54,,,,113,30,5,22,,,,57,,,,,,,0,170,24,3987,1669
127,"В.техничка школа струковних студија, Ниш",,Безбедност друмског саобраћаја,Спец. струковне,60,Техничко-технолошке науке,Специјалиста струковни инжењер саобраћаја,80000,0,,,,,,,0,25,,,,,,25,,,,,,,0,25,25,0,1515
127,"В.техничка школа струковних студија, Ниш",,Комунално инжењерство,Спец. струковне,60,Техничко-технолошке науке,Специјалиста струковни инжењер грађевинарства,80000,0,,,,,,,0,25,,,,,,25,,,,,,,0,25,22,0,1334
144,Висока техничка школа струковних студија - Зрењанин,,Технолошко инжењерство,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер технологије,30000,250,52,29,27,,,,108,,6,37,,,,43,,,,,,,0,151,26,61,4
144,Висока техничка школа струковних студија - Зрењанин,,Машинско инжењерство,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер машинства,30000,250,26,6,12,,,,44,23,2,7,,,,32,,,,,,,0,76,41,46,18
144,Висока техничка школа струковних студија - Зрењанин,,Текстилна конфекција и моделирање,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер технологије,30000,250,,1,4,,,,5,,,1,,,,1,,,,,,,0,6,7,1,2
144,Висока техничка школа струковних студија - Зрењанин,,Инжењеpски менаџмент,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер менаџмента,30000,250,,,14,,,,14,,,5,,,,5,,,,,,,0,19,23,15,8
144,Висока техничка школа струковних студија - Зрењанин,,Инжењерски менаџмент у кризним условим,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер менаџемента,30000,250,20,9,,,,,29,3,11,,,,,14,,,,,,,0,43,17,9,11
113,Висока школа струковних студија-Београдсак политехника,,Менаџмент квалитетом,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер менаџмента,63000,600,42,8,19,,,,69,19,19,32,,,,70,0,0,0,,,,0,139,17,1778,1552
113,Висока школа струковних студија-Београдсак политехника,,Безбедност и здравље на раду,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер заштите на раду,63000,600,52,8,12,,,,72,38,26,33,,,,97,0,0,0,,,,0,169,20,2251,1863
